date_utc,symbole,direction,score,confluence,risque_usd_1R,r_realise,pnl_usd,volume_lots,type_sortie,mfe_r,mae_r
2026-08-26 15:33:58,SP500,LONG,9.1,5,210.60,-1.0000,-210.60,26.00,sl,0.2802,-0.9704
2026-08-26 19:54:57,NAS100,LONG,7.1,5,257.50,0.4028,103.71,2.60,trailing,1.1606,-0.0207
2026-08-27 17:51:31,SP500,LONG,7.5,4,245.94,0.4001,98.41,15.48,trailing,1.0889,-0.1321
2026-08-27 20:30:26,NAS100,LONG,9.1,6,232.42,0.2440,56.72,1.68,be,0.6605,-0.6182
2026-08-28 02:45:57,SP500,LONG,8.1,6,236.50,0.1170,27.66,18.85,be,0.8084,-0.752
2026-08-28 07:19:31,AUDUSD,LONG,7.1,4,191.07,0.0028,0.54,1.93,be,1.2222,-0.4747
2026-08-28 14:02:48,AUDUSD,LONG,7.1,4,193.00,-1.0000,-193.00,1.93,sl,0.53,-1.05
2026-08-28 14:02:48,XAUUSD,LONG,11.1,6,221.60,-1.0000,-221.60,0.08,sl,0.465,-1.0343
2026-08-28 15:41:23,SP500,LONG,8.7,4,245.44,-1.0000,-245.44,10.46,sl,-0.0153,-0.8839
2026-08-28 15:47:59,NAS100,LONG,9.7,5,247.86,-1.0000,-247.86,1.61,sl,-0.0245,-0.9589
2026-08-28 15:48:59,USDJPY,LONG,7.1,5,214.79,2.1328,458.09,1.64,manual,2.2344,-0.3828
2026-08-28 20:30:38,NAS100,SHORT,8.5,4,246.25,-0.1856,-45.71,1.11,be,0.0165,-0.352
2026-08-30 17:10:42,BTCUSD,LONG,7.51,5,249.22,0.4000,99.69,0.70,trailing,1.0446,-0.6533
2026-08-31 17:41:53,XAUUSD,SHORT,9.1,5,241.57,-0.0093,-2.24,0.07,be,0.5141,-0.8482
2026-08-31 17:50:53,SP500,SHORT,8.5,5,225.67,-1.0000,-225.68,22.57,sl,0.662,-0.8335
2026-08-31 17:50:53,NAS100,SHORT,8.5,4,234.93,-1.0000,-234.93,2.94,sl,0.0981,-0.8678
2026-08-31 19:19:58,USDJPY,LONG,7.1,4,212.22,-0.1633,-34.66,1.73,be,0.551,-0.898
2026-08-31 20:04:30,BTCUSD,LONG,7.65,5,246.41,0.5797,142.85,0.31,be,1.0455,-0.8473
2026-08-31 20:30:31,NAS100,LONG,7.1,5,245.82,0.5000,122.90,2.04,be,0.6952,-0.5292
2026-09-01 08:10:20,XAUUSD,SHORT,8.7,5,199.32,2.5662,511.50,0.22,tp,2.1556,-0.0519
2026-09-01 09:02:52,XAUUSD,SHORT,8.7,4,203.28,2.4968,507.54,0.22,tp,2.2684,0.2348
2026-09-01 16:55:25,NAS100,SHORT,9.1,6,243.85,0.4000,97.55,5.01,trailing,1.114,-0.3367
